permit_number,permit_type,sub_type,status,parcel_number,issued_date,address,description,owner_name,contractor_name,valuation,fee,paid_fee
E25-00033,"Electrical OTC","Over The Counter",Issued,4161-029-010,02/11/2025,"1,137 9TH ST","Install piggy back to replace temporary power pole onsite",,,,,$145.00
E25-00034,"Electrical OTC","Over The Counter",Issued,4181-023-002,02/18/2025,"2,700 MANHATTAN AVE","Sign permit for Cake n Bake",,,,,$178.00
E25-00035,"Electrical OTC","Over The Counter",Issued,4161-030-027,02/12/2025,"1,245 8TH ST","Air conditioning installation 3-ton, evaporators coil installation, coil","NAPOLITANO,ANDREW AND DANIELLE",,,$115.00,$115.00
E25-00036,"Electrical OTC","Over The Counter",Issued,4186-025-027,02/19/2025,"210 PACIFIC COAST HWY","Temporary power pole",,,,,$145.00
E25-00037,"Electrical OTC","Over The Counter",Issued,4187-008-036,02/19/2025,"934 MANHATTAN AVE","Interior remodel (FRONT UNIT) Electrical panel upgrade, kitchen","Rizi Ranch, LLC",,,$162.00,$162.00
E25-00038,"Electrical OTC","Over The Counter",Issued,4187-008-036,02/19/2025,"934 MANHATTAN AVE","Interior remodel (REAR UPPER UNIT): Kitchen remodel, bathroom","Rizi Ranch, LLC",,,$162.00,$162.00
E25-00040,"Electrical OTC","Over The Counter",Issued,4187-007-003,02/24/2025,"928 PALM DR","Replacement of outlets and sub panel",,,,,$312.00
E25-00041,"Electrical OTC","Over The Counter",Issued,4185-009-014,02/25/2025,"1,502 BONNIE BRAE ST","Kitchen remodel with new cabinets, countertops, backsplash and",,,,$158.00,$158.00
E25-00042,"Electrical OTC","Over The Counter",Issued,4187-005-005,02/25/2025,"22 PIER AVE","Install (1) 20-amp circuits for 3-ceiling fans, Install (1) 20-amp","MC AULEY,PATRIC B TR",,,$175.00,$175.00
E25-00046,"Electrical OTC","Over The Counter",Issued,4188-017-019,02/27/2025,"501 HERONDO ST NO 5","Replace existing 60amp 120/240 v sub panel/ main panel",,,,,$162.00
M24-00031,"Mechanical OTC","Over The Counter",Issued,4186-024-042,02/10/2025,"1,104 3RD ST","New (3) Story SFR w/ Basement and attached (2) Car Garage.",,,,$843.00,$843.00
M25-00008,"Mechanical OTC","Over The Counter",Issued,4182-014-007,02/13/2025,"2,451 SILVERSTRAND AVE","New 2-Story Residence over Basement with attached 2-car",,,,$796.00,$796.00
M25-00013,"Mechanical OTC","Over The Counter",Issued,4187-007-003,02/03/2025,"928 PALM DR","SCOPE REVISED 2/12/25: Remodel 2 bathrooms - new toilets,",,,,$175.00,$0.00
M25-00014,"Mechanical OTC","Over The Counter",Issued,4183-014-004,02/03/2025,"1,618 MANHATTAN AVE","Furnace Change Out - 36K BTU (in closet)",,,,,$145.00
M25-00015,"Mechanical OTC","Over The Counter",Issued,4183-015-020,02/18/2025,"1,737 MONTEREY BLVD","1737 Monterey Blvd. Interior remodel to include removal of",,,,$475.00,$475.00
M25-00016,"Mechanical OTC","Over The Counter",Issued,4187-021-020,02/05/2025,"701 MANHATTAN AVE","Re-pipe water supply for both lower and upper units on Palm.",,,,$130.00,$130.00
M25-00017,"Mechanical OTC","Over The Counter",Issued,4181-006-012,02/05/2025,"426 28TH ST","Kitchen remodel, demo wall, replace windows and doors.",,,,$175.00,$175.00
M25-00018,"Mechanical OTC","Over The Counter",Issued,4188-007-013,02/06/2025,"24 3RD CT","Installing of a 25,000 BTU wall heater within the interior",,,,,$190.00
M25-00019,"Mechanical OTC","Over The Counter",Issued,4187-022-038,02/12/2025,"728 MANHATTAN AVE","Bathroom remodel, fixtures to be replaced in the same location.",,,,,$130.00
M25-00020,"Mechanical OTC","Over The Counter",Issued,4161-030-027,02/12/2025,"1,245 8TH ST","Air conditioning installation 3-ton, evaporators coil installation, coil","NAPOLITANO,ANDREW AND DANIELLE",,,$205.00,$205.00
M25-00021,"Mechanical OTC","Over The Counter",Issued,4187-008-036,02/19/2025,"934 MANHATTAN AVE","Interior remodel (FRONT UNIT) Electrical panel upgrade, kitchen","Rizi Ranch, LLC",,,$175.00,$175.00
M25-00022,"Mechanical OTC","Over The Counter",Issued,4187-008-036,02/19/2025,"933 Bayview DR","Interior remodel (REAR UPPER UNIT): Kitchen remodel, bathroom","Rizi Ranch, LLC",,,$175.00,$175.00
M25-00024,"Mechanical OTC","Over The Counter",Issued,4187-007-003,02/24/2025,"928 PALM DR","Replacement of 1 HVAC Unit",,,,,$162.00
M25-00025,"Mechanical OTC","Over The Counter",Issued,4185-009-014,02/25/2025,"1,502 BONNIE BRAE ST","Kitchen remodel with new cabinets, countertops, backsplash and",,,,$130.00,$130.00
P24-00033,"Plumbing OTC","Over The Counter",Issued,4186-024-042,02/10/2025,"1,104 3RD ST","New (3) Story SFR w/ Basement and attached (2) Car Garage.",,,,"$1,658.00","$1,658.00"
P25-00006,"Plumbing OTC","Over The Counter",Issued,4182-014-007,02/13/2025,"2,451 SILVERSTRAND AVE","New 2-Story Residence over Basement with attached 2-car",,,,"$1,712.00","$1,712.00"
P25-00012,"Plumbing OTC","Over The Counter",Issued,4187-007-003,02/03/2025,"928 PALM DR","SCOPE REVISED 2/12/25: Remodel 2 bathrooms - new toilets,",,,,$235.00,$235.00
P25-00014,"Plumbing OTC","Over The Counter",Issued,4161-028-017,02/03/2025,"1,241 9TH ST","Install 2-way clean out 4"" ABS",,,,,$98.00
P25-00015,"Plumbing OTC","Over The Counter",Issued,4183-015-020,02/18/2025,"1,737 MONTEREY BLVD","1737 Monterey Blvd. Interior remodel to include removal of",,,,$868.00,$868.00
P25-00016,"Plumbing OTC","Over The Counter",Issued,4187-021-020,02/05/2025,"701 MANHATTAN AVE","Re-pipe water supply for both lower and upper units on Palm.",,,,$227.00,$227.00
P25-00017,"Plumbing OTC","Over The Counter",Issued,4181-006-012,02/05/2025,"426 28TH ST","Kitchen remodel, demo wall, replace windows and doors.",,,,$325.00,$325.00
P25-00018,"Plumbing OTC","Over The Counter",Issued,4187-022-038,02/12/2025,"728 MANHATTAN AVE","Bathroom remodel, fixtures to be replaced in the same location.",,,,,$175.00
P25-00019,"Plumbing OTC","Over The Counter",Finaled,4188-028-082,02/10/2025,"619 2ND ST","Install water softener",,,,,$98.00
P25-00020,"Plumbing OTC","Over The Counter",Issued,4169-030-019,02/11/2025,"645 30TH ST","New fire sprinkler system",,,,,$236.00
P25-00022,"Plumbing OTC","Over The Counter",Finaled,4183-016-021,02/13/2025,"1,636 MONTEREY BLVD","Pex repipe of 26 fixtures with hot and cold water piping only",,,,,$423.00
P25-00023,"Plumbing OTC","Over The Counter",Issued,4187-008-036,02/19/2025,"934 MANHATTAN AVE","Interior remodel (FRONT UNIT) Electrical panel upgrade, kitchen","Rizi Ranch, LLC",,,$145.00,$145.00
P25-00024,"Plumbing OTC","Over The Counter",Issued,4187-008-036,02/19/2025,"934 MANHATTAN AVE","Interior remodel (REAR UPPER UNIT): Kitchen remodel, bathroom","Rizi Ranch, LLC",,,$145.00,$145.00
P25-00027,"Plumbing OTC","Over The Counter",Issued,4182-024-004,02/25/2025,"515 24TH ST","New fire sprinkler",,,,,$301.00
P25-00028,"Plumbing OTC","Over The Counter",Issued,4185-009-014,02/25/2025,"1,502 BONNIE BRAE ST","Kitchen remodel with new cabinets, countertops, backsplash and",,,,$175.00,$175.00
X25-00008,"Residential Building Report","Residential Building Report",Finaled,4186-019-054,02/03/2025,"326 OCEAN VIEW AVE",RBR,,,,,$327.42
X25-00009,"Residential Building Report","Residential Building Report",Finaled,4187-017-014,02/03/2025,"900 LOMA DR",RBR,,,,,$327.42
X25-00010,"Residential Building Report","Residential Building Report",Finaled,4187-015-052,02/03/2025,"32 8TH ST",RBR,,,,,$327.42
X25-00011,"Residential Building Report","Residential Building Report",Finaled,4185-015-017,02/03/2025,"1,256 OWOSSO AVE",RBR,,,,,$327.42
X25-00013,"Residential Building Report","Residential Building Report",Finaled,4183-013-134,02/03/2025,"1,427 MANHATTAN AVE",RBR,,,,,$327.42
X25-00017,"Residential Building Report","Residential Building Report",Finaled,4187-013-041,02/11/2025,"912 MONTEREY BLVD NO 3","RBR Unit #3",,,,,$327.42
X25-00018,"Residential Building Report","Residential Building Report",Finaled,4160-032-039,02/11/2025,"1,124 8TH ST",RBR,,,,,$327.42
X25-00020,"Residential Building Report","Residential Building Report",Finaled,4184-014-012,02/12/2025,"2,110 BORDEN AVE",RBR,,,,,$327.42
X25-00021,"Residential Building Report","Residential Building Report",Finaled,4183-005-011,02/13/2025,"66 16TH ST",RBR,,,,,$327.42
X25-00022,"Residential Building Report","Residential Building Report",Finaled,4183-023-029,02/13/2025,"1,940 LOMA DR",RBR,,,,,$327.42
X25-00023,"Residential Building Report","Residential Building Report",Finaled,4182-009-003,02/13/2025,"2,124 HERMOSA AVE",RBR,,,,,$327.42
X25-00024,"Residential Building Report","Residential Building Report",Finaled,4186-025-021,02/13/2025,"938 3RD ST",RBR,,,,,$327.42
X25-00026,"Residential Building Report","Residential Building Report",Finaled,4182-012-006,02/19/2025,"2,531 MYRTLE AVE",RBR,,,,,$327.42
X25-00027,"Residential Building Report","Residential Building Report",Finaled,4186-021-043,02/25/2025,"322 HOPKINS AVE",RBR,,,,,$327.42
X25-00028,"Residential Building Report","Residential Building Report",Finaled,4182-017-032,02/25/2025,"2,242 CIRCLE DR",RBR,,,,,$327.42
X25-00029,"Residential Building Report","Residential Building Report",Finaled,4182-012-003,02/25/2025,"232 26TH ST",RBR,,,,,$327.42
X25-00031,"Residential Building Report","Residential Building Report",Finaled,4186-020-023,02/27/2025,"1,025 4TH ST",RBR,,,,,$327.42
X25-00033,"Residential Building Report","Residential Building Report",Finaled,4161-027-004,02/27/2025,"1,012 PROSPECT AVE",RBR,,,,,$327.42
X25-00034,"Residential Building Report","Residential Building Report",Finaled,4161-026-041,02/27/2025,"1,132 PROSPECT AVE",RBR,,,,,$327.42
X25-00035,"Residential Building Report","Residential Building Report",Finaled,4161-026-042,02/27/2025,"1,130 PROSPECT AVE",RBR,,,,,$327.42
B25-00048,"Solar Permit",Solar,Issued,4188-021-025,02/03/2025,"168 HILL ST","INSTALL (18) YUKON SEG-420-BTD-BG SOLAR ELECTRIC",,,"$18,000.00",$481.50,$481.50
B25-00082,"Solar Permit",Solar,Issued,4185-023-047,02/25/2025,"1,257 17TH ST","Roof-mounted Solar PV system installation with battery backup",,,"$41,898.00",$481.50,$481.50
